datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city_name
2025-01-01 00:00:09+08:00,3.0,1588.82,11.4,50.72,0.0,30.52,46.08,69.62,9.63,Bacoor
2025-01-01 00:01:10+08:00,3.0,1588.82,11.4,50.72,0.0,30.52,46.08,69.62,9.63,Cavite City
2025-01-01 00:01:47+08:00,1.0,377.18,0.0,16.79,27.18,17.41,6.75,11.24,2.69,General Trias
2025-01-01 00:03:56+08:00,1.0,287.06,0.0,10.97,30.04,9.66,4.38,7.6,1.14,Tagaytay City
2025-01-01 02:00:10+08:00,3.0,1482.01,10.39,48.67,0.01,22.89,42.24,63.45,7.22,Bacoor
2025-01-01 02:01:12+08:00,3.0,1482.01,10.39,48.67,0.01,22.89,42.24,63.45,7.22,Cavite City
2025-01-01 02:01:50+08:00,1.0,367.17,0.0,14.91,30.04,15.74,7.02,11.57,2.91,General Trias
2025-01-01 02:03:53+08:00,1.0,263.69,0.0,9.08,32.9,8.94,3.8,6.5,1.14,Tagaytay City
2025-01-01 04:00:08+08:00,3.0,1174.93,3.86,42.5,0.39,15.26,32.64,52.69,5.57,Bacoor
2025-01-01 04:01:06+08:00,3.0,1174.93,3.86,42.5,0.39,15.26,32.64,52.69,5.57,Cavite City
2025-01-01 04:01:40+08:00,2.0,500.68,0.0,20.22,27.18,16.69,10.9,18.0,4.31,General Trias
2025-01-01 04:03:46+08:00,1.0,253.68,0.0,7.88,35.41,9.18,3.77,6.22,1.19,Tagaytay City
2025-01-01 06:00:09+08:00,3.0,947.95,1.69,35.64,1.79,12.64,27.19,45.12,5.51,Bacoor
2025-01-01 06:01:06+08:00,3.0,947.95,1.69,35.64,1.79,12.64,27.19,45.12,5.51,Cavite City
2025-01-01 06:01:43+08:00,2.0,574.11,0.0,25.02,25.03,19.07,14.56,23.52,5.19,General Trias
2025-01-01 06:03:57+08:00,1.0,273.71,0.0,8.57,35.76,9.78,4.53,7.56,1.41,Tagaytay City
2025-01-01 08:00:07+08:00,3.0,1121.52,8.05,37.7,4.87,21.22,34.36,58.1,10.64,Bacoor
2025-01-01 08:01:06+08:00,3.0,1121.52,8.05,37.7,4.87,21.22,34.36,58.1,10.64,Cavite City
2025-01-01 08:01:43+08:00,2.0,647.54,1.55,27.08,28.25,22.41,16.62,26.26,6.4,General Trias
2025-01-01 08:03:50+08:00,1.0,350.48,0.47,12.68,36.84,11.09,5.28,8.74,1.74,Tagaytay City
2025-01-01 10:00:08+08:00,4.0,2002.72,25.48,56.21,16.99,44.35,62.37,89.7,22.29,Bacoor
2025-01-01 10:01:05+08:00,4.0,2002.72,25.48,56.21,16.99,44.35,62.37,89.7,22.29,Cavite City
2025-01-01 10:01:42+08:00,2.0,707.63,2.74,26.05,40.77,21.94,17.36,25.17,7.22,General Trias
2025-01-01 10:03:48+08:00,1.0,370.5,1.79,10.97,50.07,11.21,5.14,7.81,1.62,Tagaytay City
2025-01-01 12:00:08+08:00,4.0,1682.28,3.69,46.61,154.5,31.47,63.53,84.9,13.81,Bacoor
2025-01-01 12:01:07+08:00,4.0,1682.28,3.69,46.61,154.5,31.47,63.53,84.9,13.81,Cavite City
2025-01-01 12:01:44+08:00,2.0,821.11,2.12,22.62,94.41,22.17,24.14,32.45,7.85,General Trias
2025-01-01 12:03:50+08:00,2.0,313.76,0.71,4.93,92.98,10.85,6.12,8.4,1.38,Tagaytay City
2025-01-01 14:00:09+08:00,4.0,727.65,0.49,10.28,153.07,15.5,26.59,40.01,6.84,Bacoor
2025-01-01 14:01:09+08:00,4.0,727.65,0.49,10.28,153.07,15.5,26.59,40.01,6.84,Cavite City
2025-01-01 14:01:45+08:00,3.0,487.33,0.55,7.03,113.01,11.56,11.96,15.85,3.74,General Trias
2025-01-01 14:03:49+08:00,2.0,320.44,0.5,5.01,94.41,10.13,6.02,8.12,1.43,Tagaytay City
2025-01-01 16:00:08+08:00,3.0,574.11,0.33,10.88,115.87,14.07,14.08,25.15,6.02,Bacoor
2025-01-01 16:01:08+08:00,3.0,574.11,0.33,10.88,115.87,14.07,14.08,25.15,6.02,Cavite City
2025-01-01 16:01:44+08:00,2.0,440.6,0.44,9.94,91.55,13.47,8.17,11.39,3.29,General Trias
2025-01-01 16:03:53+08:00,2.0,337.12,0.43,9.08,71.53,10.13,5.45,7.61,1.47,Tagaytay City
2025-01-01 18:00:07+08:00,2.0,727.65,0.03,28.45,55.79,18.36,13.26,22.03,7.22,Bacoor
2025-01-01 18:01:05+08:00,2.0,727.65,0.03,28.45,55.79,18.36,13.26,22.03,7.22,Cavite City
2025-01-01 18:01:41+08:00,1.0,460.63,0.01,17.31,50.07,17.17,7.13,10.26,2.91,General Trias
2025-01-01 18:03:50+08:00,1.0,363.83,0.01,13.88,48.64,9.54,5.26,7.73,1.3,Tagaytay City
2025-01-01 20:00:08+08:00,3.0,1201.63,0.02,63.75,11.44,23.6,26.43,38.9,6.14,Bacoor
2025-01-01 20:01:09+08:00,3.0,1201.63,0.02,63.75,11.44,23.6,26.43,38.9,6.14,Cavite City
2025-01-01 20:01:46+08:00,2.0,634.19,0.0,29.47,27.9,18.6,11.72,14.72,2.95,General Trias
2025-01-01 20:04:02+08:00,1.0,400.54,0.0,14.74,34.69,7.63,6.09,7.96,1.11,Tagaytay City
2025-01-01 22:00:07+08:00,3.0,1174.93,0.09,52.09,11.0,20.74,29.12,38.73,5.57,Bacoor
2025-01-01 22:01:09+08:00,3.0,1174.93,0.09,52.09,11.0,20.74,29.12,38.73,5.57,Cavite City
2025-01-01 22:01:44+08:00,2.0,734.33,0.0,33.24,25.03,20.03,16.74,20.84,3.64,General Trias
2025-01-01 22:03:51+08:00,1.0,363.83,0.0,12.34,34.69,8.58,6.31,8.14,1.17,Tagaytay City
2025-01-02 00:00:08+08:00,2.0,720.98,0.0,26.39,22.71,9.06,17.89,25.01,2.98,Bacoor
2025-01-02 00:01:07+08:00,2.0,720.98,0.0,26.39,22.71,9.06,17.89,25.01,2.98,Cavite City
2025-01-02 00:01:43+08:00,2.0,781.06,0.0,33.93,22.35,17.41,20.27,25.14,3.45,General Trias
2025-01-02 00:03:52+08:00,1.0,353.81,0.0,11.48,32.19,8.35,5.67,7.35,1.24,Tagaytay City
2025-01-02 02:00:08+08:00,2.0,834.47,0.06,31.53,17.35,8.46,22.21,29.1,3.36,Bacoor
2025-01-02 02:01:06+08:00,2.0,834.47,0.06,31.53,17.35,8.46,22.21,29.1,3.36,Cavite City
2025-01-02 02:01:41+08:00,2.0,734.33,0.0,32.9,20.92,16.45,21.01,25.97,3.55,General Trias
2025-01-02 02:03:48+08:00,1.0,347.14,0.0,10.63,29.68,7.87,5.78,7.57,1.41,Tagaytay City
2025-01-02 04:00:06+08:00,2.0,787.74,0.04,29.47,14.66,9.54,21.82,29.98,4.24,Bacoor
2025-01-02 04:01:04+08:00,2.0,787.74,0.04,29.47,14.66,9.54,21.82,29.98,4.24,Cavite City
2025-01-02 04:01:39+08:00,3.0,988.01,0.0,43.18,13.05,20.27,31.52,39.2,5.26,General Trias
2025-01-02 04:03:48+08:00,1.0,357.15,0.0,12.17,26.11,9.78,7.34,10.13,1.85,Tagaytay City
2025-01-02 06:00:07+08:00,3.0,1028.06,1.84,39.41,3.71,17.41,31.95,44.89,6.4,Bacoor
2025-01-02 06:01:07+08:00,3.0,1028.06,1.84,39.41,3.71,17.41,31.95,44.89,6.4,Cavite City
2025-01-02 06:01:45+08:00,3.0,974.66,0.02,42.16,11.44,24.56,31.7,40.31,6.27,General Trias
2025-01-02 06:04:01+08:00,1.0,353.81,0.0,12.68,25.03,10.61,7.59,11.17,1.79,Tagaytay City
2025-01-02 08:00:09+08:00,3.0,1321.79,13.08,37.01,3.09,24.32,42.42,64.92,8.23,Bacoor
2025-01-02 08:01:08+08:00,3.0,1321.79,13.08,37.01,3.09,24.32,42.42,64.92,8.23,Cavite City
2025-01-02 08:01:45+08:00,2.0,767.71,2.38,30.85,20.56,27.42,21.09,29.79,6.02,General Trias
2025-01-02 08:04:01+08:00,1.0,367.17,0.7,13.2,25.39,9.78,5.95,10.41,1.71,Tagaytay City
